Label,year,AIRZONE,metric,parameter,management_level_no TFEE adjustment,management_level_TFEE adjusted,metric_value_TFEE adjusted,metric_value_no TFEE adjustment
Burns Lake,2021,Central Interior,pm25_24h,pm25,orange,orange,20,20
Burns Lake,2021,Central Interior,pm25_annual,pm25,orange,orange,7.6,7.6
Houston,2021,Central Interior,pm25_24h,pm25,red,red,30,30
Houston,2021,Central Interior,pm25_annual,pm25,red,red,8.9,8.9
Quesnel,2021,Central Interior,pm25_24h,pm25,red,orange,25,34
Quesnel,2021,Central Interior,pm25_annual,pm25,red,orange,8.5,9.4
Smithers,2021,Central Interior,pm25_24h,pm25,orange,orange,20,20
Smithers,2021,Central Interior,pm25_annual,pm25,orange,orange,7.2,7.2
Valemount,2021,Central Interior,pm25_24h,pm25,red,NA,NA,63
Vanderhoof,2021,Central Interior,pm25_24h,pm25,red,NA,NA,29
Williams Lake,2021,Central Interior,pm25_24h,pm25,orange,yellow,18,25
Williams Lake,2021,Central Interior,pm25_annual,pm25,orange,yellow,5.9,6.5
Kitimat-Riverlodge,2021,Coastal,pm25_24h,pm25,green,green,9,9
Kitimat-Riverlodge,2021,Coastal,pm25_annual,pm25,green,green,3.5,3.5
Kitimat-Whitesail,2021,Coastal,pm25_24h,pm25,green,green,9,9
Kitimat-Whitesail,2021,Coastal,pm25_annual,pm25,green,green,3.3,3.3
Prince Rupert-Fairview,2021,Coastal,pm25_24h,pm25,green,green,8,8
Prince Rupert-Fairview,2021,Coastal,pm25_annual,pm25,green,green,2.9,2.9
Terrace,2021,Coastal,pm25_24h,pm25,yellow,yellow,14,14
Terrace,2021,Coastal,pm25_annual,pm25,yellow,yellow,4.9,4.9
Campbell River,2021,Georgia Strait,pm25_24h,pm25,orange,yellow,16,20
Campbell River,2021,Georgia Strait,pm25_annual,pm25,orange,yellow,6.4,6.9
Colwood,2021,Georgia Strait,pm25_24h,pm25,red,yellow,14,29
Colwood,2021,Georgia Strait,pm25_annual,pm25,orange,yellow,5.4,6.6
Courtenay,2021,Georgia Strait,pm25_24h,pm25,orange,orange,24,26
Courtenay,2021,Georgia Strait,pm25_annual,pm25,orange,orange,7.4,8.3
Crofton-Elementary,2021,Georgia Strait,pm25_24h,pm25,red,green,10,34
Crofton-Elementary,2021,Georgia Strait,pm25_annual,pm25,yellow,green,3.2,4.4
Crofton-Substation,2021,Georgia Strait,pm25_24h,pm25,orange,yellow,12,22
Crofton-Substation,2021,Georgia Strait,pm25_annual,pm25,yellow,yellow,4.7,5.4
Duncan-Cairnsmore,2021,Georgia Strait,pm25_24h,pm25,orange,orange,21,25
Duncan-Cairnsmore,2021,Georgia Strait,pm25_annual,pm25,orange,orange,6.8,7.4
Duncan-Deykin,2021,Georgia Strait,pm25_24h,pm25,orange,yellow,15,24
Duncan-Deykin,2021,Georgia Strait,pm25_annual,pm25,orange,yellow,6,6.7
Langdale,2021,Georgia Strait,pm25_24h,pm25,red,yellow,11,31
Langdale,2021,Georgia Strait,pm25_annual,pm25,yellow,green,3.9,4.9
Nanaimo,2021,Georgia Strait,pm25_24h,pm25,orange,yellow,11,22
Nanaimo,2021,Georgia Strait,pm25_annual,pm25,yellow,yellow,4.7,5.4
Port Alberni-Elem.School,2021,Georgia Strait,pm25_24h,pm25,orange,orange,20,23
Port Alberni-Elem.School,2021,Georgia Strait,pm25_annual,pm25,orange,orange,7.7,8.2
Powell River-J Thomson,2021,Georgia Strait,pm25_24h,pm25,orange,yellow,11,20
Powell River-J Thomson,2021,Georgia Strait,pm25_annual,pm25,yellow,yellow,4.8,5.7
Squamish,2021,Georgia Strait,pm25_24h,pm25,yellow,yellow,11,14
Squamish,2021,Georgia Strait,pm25_annual,pm25,yellow,yellow,4.9,5
Victoria,2021,Georgia Strait,pm25_24h,pm25,orange,yellow,15,27
Victoria,2021,Georgia Strait,pm25_annual,pm25,orange,yellow,6.3,7.1
Whistler,2021,Georgia Strait,pm25_24h,pm25,orange,yellow,14,22
Whistler,2021,Georgia Strait,pm25_annual,pm25,yellow,yellow,4.8,5.5
Abbotsford-Airport,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,yellow,15,18
Abbotsford-Airport,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,5,5.7
Abbotsford-Mill Lake,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,yellow,13,14
Abbotsford-Mill Lake,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.9,5.3
Agassiz,2021,Lower Fraser Valley,pm25_24h,pm25,orange,yellow,13,26
Agassiz,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,5.1,6
Burnaby-Kensington Park,2021,Lower Fraser Valley,pm25_24h,pm25,orange,green,10,24
Burnaby-Kensington Park,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.2,5
Burnaby-South,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,yellow,12,14
Burnaby-South,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.7,5.2
Chilliwack,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,yellow,13,16
Chilliwack,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,5.1,5.9
Hope,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,yellow,11,15
Hope,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.7,5.6
Horseshoe Bay,2021,Lower Fraser Valley,pm25_24h,pm25,orange,green,10,27
Horseshoe Bay,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,green,3.8,4.6
Langley,2021,Lower Fraser Valley,pm25_24h,pm25,orange,yellow,15,24
Langley,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.9,5.6
Mission,2021,Lower Fraser Valley,pm25_24h,pm25,red,yellow,15,28
Mission,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,5.5,6.3
N.Vancouver-Mahon Park,2021,Lower Fraser Valley,pm25_24h,pm25,orange,green,10,27
N.Vancouver-Mahon Park,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.1,4.8
New Westminster,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,yellow,12,15
New Westminster,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,5.8,6.1
North Delta,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,yellow,13,19
North Delta,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,5.4,6
Pitt Meadows,2021,Lower Fraser Valley,pm25_24h,pm25,orange,yellow,12,24
Pitt Meadows,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.5,5.3
Port Moody,2021,Lower Fraser Valley,pm25_24h,pm25,orange,green,10,25
Port Moody,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.6,5.4
Richmond-Airport,2021,Lower Fraser Valley,pm25_24h,pm25,orange,yellow,12,20
Richmond-Airport,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.6,5.3
Richmond-South,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,yellow,13,19
Richmond-South,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,5.2,5.9
Surrey East,2021,Lower Fraser Valley,pm25_24h,pm25,orange,yellow,13,22
Surrey East,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,5.1,5.9
Tsawwassen,2021,Lower Fraser Valley,pm25_24h,pm25,yellow,green,10,12
Tsawwassen,2021,Lower Fraser Valley,pm25_annual,pm25,yellow,yellow,4.1,4.6
Vancouver-ClarkDr,2021,Lower Fraser Valley,pm25_24h,pm25,orange,yellow,15,26
Vancouver-ClarkDr,2021,Lower Fraser Valley,pm25_annual,pm25,orange,yellow,6.3,7.1
FortSt.John,2021,Northeast,pm25_24h,pm25,orange,yellow,16,21
FortSt.John,2021,Northeast,pm25_annual,pm25,yellow,yellow,4.9,5.2
Castlegar,2021,Southern Interior,pm25_24h,pm25,red,yellow,17,105
Castlegar,2021,Southern Interior,pm25_annual,pm25,red,orange,6.9,12.3
Cranbrook,2021,Southern Interior,pm25_24h,pm25,red,yellow,17,29
Cranbrook,2021,Southern Interior,pm25_annual,pm25,orange,yellow,5.9,6.9
Golden,2021,Southern Interior,pm25_24h,pm25,red,orange,23,48
Golden,2021,Southern Interior,pm25_annual,pm25,red,orange,8.4,10.5
Grand Forks,2021,Southern Interior,pm25_24h,pm25,red,orange,24,49
Grand Forks,2021,Southern Interior,pm25_annual,pm25,red,red,9,11.4
Kamloops,2021,Southern Interior,pm25_24h,pm25,red,yellow,16,47
Kamloops,2021,Southern Interior,pm25_annual,pm25,red,orange,6.7,9.4
Kelowna,2021,Southern Interior,pm25_24h,pm25,red,yellow,18,62
Kelowna,2021,Southern Interior,pm25_annual,pm25,red,yellow,5.9,9.6
Vernon,2021,Southern Interior,pm25_24h,pm25,red,orange,23,69
Vernon,2021,Southern Interior,pm25_annual,pm25,red,orange,8.5,10.8
