airzone,site,location,parameter,year,annual metric,1-hour,no adjustment
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2013,1.6,36.7,yellow
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2014,1.3,34.9,yellow
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2015,NA,35.1,yellow
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2016,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2017,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2018,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2019,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2020,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2021,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2022,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2023,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2013,2.4,57.2,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2014,2.3,58.8,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2015,NA,58.6,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2016,1.9,47.4,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2017,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2018,1.4,49.7,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2019,1.2,43.7,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2020,1,40,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2021,1.6,33.8,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2022,1.4,36.2,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2023,1.3,34.3,yellow
Central Interior,Quesnel,Quesnel,so2,2013,0.3,21,green
Central Interior,Quesnel,Quesnel,so2,2014,0.3,17.8,green
Central Interior,Quesnel,Quesnel,so2,2015,0.3,14.2,green
Central Interior,Quesnel,Quesnel,so2,2016,0.2,12.7,green
Central Interior,Quesnel,Quesnel,so2,2017,0.2,11.7,green
Central Interior,Quesnel,Quesnel,so2,2018,0.3,10.3,green
Central Interior,Quesnel,Quesnel,so2,2019,0.4,9.6,green
Central Interior,Quesnel,Quesnel,so2,2020,0.4,8.5,green
Central Interior,Quesnel,Quesnel,so2,2021,0.4,9.3,green
Central Interior,Quesnel,Quesnel,so2,2022,0.4,9.6,green
Central Interior,Quesnel,Quesnel,so2,2023,0.4,12,green
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2013,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2014,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2015,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2016,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2017,0.3,NA,green
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2018,0.2,1.8,green
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2019,NA,1.8,green
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2020,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2021,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2022,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2023,NA,NA,NA
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2013,0.2,11.5,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2014,0.2,10.7,green
