airzone,site,location,instrument,parameter,year,annual metric,annual metric (tfee-adjusted),24-hour metric,24-hour metric (tfee-adjusted),no adjustment,adjusted
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2013,NA,NA,NA,NA,NA,NA
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2015,7.4,7.4,22,22,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2016,7.2,7.2,20,20,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2017,7,6.9,21,19,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2018,7,6.9,39,19,red,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2019,7.9,7.8,40,21,red,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2020,7.9,7.9,38,20,red,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2021,7.6,7.6,20,20,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2022,7.1,7.1,19,19,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2023,8.6,8.5,35,35,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2013,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2014,NA,NA,29,29,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2015,NA,NA,30,30,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2016,9.3,9.3,29,29,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2017,9.3,9.1,30,29,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2018,9.1,8.8,29,28,red,orange
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2019,10,9.7,31,30,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2020,9.4,9.4,31,31,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2021,8.9,8.9,30,30,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2022,8.3,8.3,29,29,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2023,9.2,9.2,32,32,red,red
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2013,5.2,5.2,18,18,yellow,yellow
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2014,5.5,5.5,19,19,yellow,yellow
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2013,NA,NA,22,22,orange,orange
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
