airzone,site,location,parameter,year,annual metric,1-hour,no adjustment
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2013,10.2,44.9,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2014,9.5,45.8,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2015,9.8,44.9,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2016,8.9,43.1,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2017,NA,40.9,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2018,10.4,46.6,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2019,10.5,51,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2020,7.8,47.2,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2021,8.3,43.4,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2022,8.6,40.8,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,no2,2023,9.4,43.4,orange
Central Interior,Quesnel,Quesnel,no2,2013,7.8,38.3,orange
Central Interior,Quesnel,Quesnel,no2,2014,8.9,35.6,orange
Central Interior,Quesnel,Quesnel,no2,2015,7.5,34.2,orange
Central Interior,Quesnel,Quesnel,no2,2016,7.6,34.9,orange
Central Interior,Quesnel,Quesnel,no2,2017,7.5,33.8,orange
Central Interior,Quesnel,Quesnel,no2,2018,8.7,36.7,orange
Central Interior,Quesnel,Quesnel,no2,2019,7.9,39.3,orange
Central Interior,Quesnel,Quesnel,no2,2020,8.5,40,orange
Central Interior,Quesnel,Quesnel,no2,2021,8.1,38.1,orange
Central Interior,Quesnel,Quesnel,no2,2022,4.3,32.1,orange
Central Interior,Quesnel,Quesnel,no2,2023,4,26.9,yellow
Central Interior,Smithers,Smithers,no2,2013,NA,NA,NA
Central Interior,Smithers,Smithers,no2,2014,NA,NA,NA
Central Interior,Smithers,Smithers,no2,2015,NA,NA,NA
Central Interior,Smithers,Smithers,no2,2016,5,NA,yellow
Central Interior,Smithers,Smithers,no2,2017,5.4,25.9,yellow
Central Interior,Smithers,Smithers,no2,2018,5.7,28.6,yellow
Central Interior,Smithers,Smithers,no2,2019,6.1,32,orange
Central Interior,Smithers,Smithers,no2,2020,6.2,31.3,orange
Central Interior,Smithers,Smithers,no2,2021,6.3,29,yellow
Central Interior,Smithers,Smithers,no2,2022,7,26,yellow
Central Interior,Smithers,Smithers,no2,2023,7.6,27,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2013,8,36.8,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2014,4.9,29.5,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2015,NA,29.5,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2016,5.7,26.6,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2017,5.8,31.5,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2018,7,33.2,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2019,6.5,36.6,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2020,NA,37.9,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2021,9.7,33.4,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2022,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,no2,2023,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2013,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2014,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2015,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2016,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2017,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2018,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2019,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2020,1.5,NA,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2021,1.8,14.3,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2022,NA,14.3,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,no2,2023,1.4,13,green
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2013,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2014,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2015,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2016,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2017,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2018,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2019,4.8,NA,yellow
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2020,3.8,25.4,yellow
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2021,3.9,24.8,yellow
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2022,4,23.1,yellow
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,no2,2023,3.3,22.1,yellow
Coastal,Terrace Skeena Middle School,Terrace,no2,2013,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,no2,2014,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,no2,2015,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,no2,2016,2.2,NA,yellow
Coastal,Terrace Skeena Middle School,Terrace,no2,2017,2.6,21.1,yellow
Coastal,Terrace Skeena Middle School,Terrace,no2,2018,3,24,yellow
Coastal,Terrace Skeena Middle School,Terrace,no2,2019,3,24.7,yellow
Coastal,Terrace Skeena Middle School,Terrace,no2,2020,2.8,25.5,yellow
Coastal,Terrace Skeena Middle School,Terrace,no2,2021,2.7,23,yellow
Coastal,Terrace Skeena Middle School,Terrace,no2,2022,2.6,22.6,yellow
Coastal,Terrace Skeena Middle School,Terrace,no2,2023,2.6,20.3,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2013,5.4,25.5,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2014,5,27.6,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2015,NA,27.7,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2016,4.8,26.6,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2017,4.9,25,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2018,4.7,25,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2019,4.5,25.6,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2020,3.9,24.4,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2021,3.8,23.3,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2022,4.1,22.4,yellow
Georgia Strait,Colwood City Hall,Colwood,no2,2023,4.1,22,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2013,4.8,26.8,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2014,5,26,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2015,4.5,23.9,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2016,4,24.7,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2017,4.6,26.4,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2018,3.9,28,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2019,3.8,27.4,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2020,3,24.3,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2021,3.5,23.4,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2022,3.2,21.9,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,no2,2023,3.6,22.1,yellow
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2013,3.7,17.5,yellow
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2014,NA,17.5,green
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2015,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2016,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2017,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2018,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2019,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2020,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2021,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2022,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,no2,2023,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2013,3.7,20.8,yellow
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2014,NA,20.8,yellow
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2015,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2016,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2017,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2018,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2019,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2020,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2021,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2022,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,no2,2023,NA,NA,NA
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2013,4.7,22.8,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2014,4.7,22.7,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2015,4.5,21.4,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2016,4.5,21,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2017,4.4,21,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2018,4.3,21.8,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2019,4.2,23,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2020,3.6,22.3,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2021,4.2,22.1,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2022,3.9,21.3,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,no2,2023,3.9,20.5,yellow
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2013,4,21.7,yellow
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2014,NA,18.8,green
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2015,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2016,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2017,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2018,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2019,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2020,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2021,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2022,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,no2,2023,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,no2,2013,5,21.5,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2014,NA,21.6,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2015,5.5,24,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2016,5.4,24.4,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2017,5.5,25,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2018,4.3,24.9,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2019,4.1,25,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2020,3.8,22.5,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2021,4,21.8,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2022,4.2,21.7,yellow
Georgia Strait,Langdale Elementary,Langdale,no2,2023,4,22.9,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2013,6.4,27.1,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2014,5.8,26.3,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2015,6.2,26.9,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2016,6.3,27.2,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2017,6.7,29,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2018,6.1,28.9,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2019,5.6,29.5,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2020,4.5,26.6,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2021,4.9,26.4,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2022,5.2,25.8,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,no2,2023,5.1,26.3,yellow
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2013,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2014,4,NA,yellow
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2015,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2016,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2017,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2018,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2019,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2020,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2021,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2022,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,no2,2023,NA,NA,NA
Georgia Strait,Powell River Cranberry Lake,Powell River-Cranberry Lake,no2,2013,2.2,14.5,yellow
