airzone,site,location,parameter,year,8-hour metric,8-hour metric (tfee-adjusted),no adjustment,adjusted
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2013,53,53,yellow,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2014,52,52,yellow,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2015,54,54,yellow,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2016,53,53,yellow,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2017,52,52,yellow,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2018,51,51,yellow,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2019,51,51,yellow,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2020,51,51,yellow,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2021,49,49,green,green
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2022,46,46,green,green
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,o3,2023,49,49,green,green
Central Interior,Quesnel,Quesnel,o3,2013,53,53,yellow,yellow
Central Interior,Quesnel,Quesnel,o3,2014,54,54,yellow,yellow
Central Interior,Quesnel,Quesnel,o3,2015,54,54,yellow,yellow
Central Interior,Quesnel,Quesnel,o3,2016,52,52,yellow,yellow
Central Interior,Quesnel,Quesnel,o3,2017,50,50,green,green
Central Interior,Quesnel,Quesnel,o3,2018,50,50,green,green
Central Interior,Quesnel,Quesnel,o3,2019,50,50,green,green
Central Interior,Quesnel,Quesnel,o3,2020,49,49,green,green
Central Interior,Quesnel,Quesnel,o3,2021,46,46,green,green
Central Interior,Quesnel,Quesnel,o3,2022,46,46,green,green
Central Interior,Quesnel,Quesnel,o3,2023,49,49,green,green
Central Interior,Smithers,Smithers,o3,2013,54,54,yellow,yellow
Central Interior,Smithers,Smithers,o3,2014,NA,NA,NA,NA
Central Interior,Smithers,Smithers,o3,2015,NA,NA,NA,NA
Central Interior,Smithers,Smithers,o3,2016,47,47,green,green
Central Interior,Smithers,Smithers,o3,2017,48,48,green,green
Central Interior,Smithers,Smithers,o3,2018,48,48,green,green
Central Interior,Smithers,Smithers,o3,2019,48,48,green,green
Central Interior,Smithers,Smithers,o3,2020,46,46,green,green
Central Interior,Smithers,Smithers,o3,2021,44,44,green,green
Central Interior,Smithers,Smithers,o3,2022,44,44,green,green
Central Interior,Smithers,Smithers,o3,2023,42,42,green,green
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2013,54,54,yellow,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2014,55,55,yellow,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2015,50,50,green,green
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2016,49,49,green,green
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2017,49,49,green,green
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2018,50,50,green,green
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2019,51,51,yellow,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2020,52,52,yellow,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2021,49,49,green,green
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2022,48,48,green,green
Central Interior,Williams Lake Columneetza School,Williams Lake,o3,2023,50,50,green,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2013,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2014,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2015,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2016,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2017,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2018,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2019,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2020,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2021,42,42,green,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2022,41,41,green,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,o3,2023,42,42,green,green
