airzone,parameter,year,no adjustment,adjusted
Southern Interior,o3,2016,yellow,yellow
Southern Interior,o3,2017,yellow,yellow
Southern Interior,o3,2018,yellow,yellow
Southern Interior,o3,2019,orange,orange
Southern Interior,o3,2020,yellow,yellow
Southern Interior,o3,2021,yellow,yellow
Southern Interior,o3,2022,yellow,yellow
Southern Interior,o3,2023,orange,orange
Southern Interior,pm25,2013,orange,orange
Southern Interior,pm25,2014,orange,orange
Southern Interior,pm25,2015,orange,orange
Southern Interior,pm25,2016,orange,orange
Southern Interior,pm25,2017,red,orange
Southern Interior,pm25,2018,red,orange
Southern Interior,pm25,2019,red,orange
Southern Interior,pm25,2020,red,red
Southern Interior,pm25,2021,red,red
Southern Interior,pm25,2022,red,red
Southern Interior,pm25,2023,red,red
Southern Interior,so2,2013,red,NA
Southern Interior,so2,2014,red,NA
Southern Interior,so2,2015,red,NA
Southern Interior,so2,2016,red,NA
Southern Interior,so2,2017,red,NA
Southern Interior,so2,2018,red,NA
Southern Interior,so2,2019,red,NA
Southern Interior,so2,2020,red,NA
Southern Interior,so2,2021,red,NA
Southern Interior,so2,2022,red,NA
Southern Interior,so2,2023,red,NA
