STATION_NAME,INSTRUMENT,PARAMETER,DATE,measurement,name,value
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2014-11-20,27.833333333333332,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2014-11-20,27.833333333333332,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2015-07-06,67.41666666666667,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2015-07-06,67.41666666666667,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2015-08-23,33.125,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2015-08-23,33.125,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-02,36.625,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-02,36.625,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-03,66.04761904761905,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-03,66.04761904761905,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-04,41.5,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-04,41.5,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-07,27.166666666666668,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-07,27.166666666666668,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-08,43.791666666666664,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-08,43.791666666666664,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-09,42.75,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-09,42.75,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-10,38.041666666666664,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-10,38.041666666666664,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-11,27.916666666666668,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-08-11,27.916666666666668,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-09-06,31.875,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-09-06,31.875,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-09-07,32.416666666666664,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2017-09-07,32.416666666666664,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-14,43.791666666666664,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-14,43.791666666666664,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-15,44.458333333333336,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-15,44.458333333333336,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-19,27.5,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-19,27.5,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-20,50.708333333333336,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-20,50.708333333333336,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-21,100.45833333333333,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-21,100.45833333333333,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-22,105.83333333333333,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-22,105.83333333333333,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-23,91.29166666666667,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-23,91.29166666666667,exceed_27,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-26,28.125,exceed_25,TRUE
Abbotsford A Columbia Street,PM25 SHARP5030,PM25,2018-08-26,28.125,exceed_27,TRUE
