site,tfee,instrument,year,latitude,longitude,pollutant,metric,metric_value,airzone,colour_order,colour,label,colour_text,labels,popup
Abbotsford A Columbia Street,FALSE,NA,2013,49.0215,-122.3266,NO2,no2_ann,7.3,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,NA,2013,49.0215,-122.3266,O3,o3_8h,NA,Lower Fraser Valley,0,#dbdbdb,Abbotsford-Airport,grey,Insufficient Data,Abbotsford A Columbia Street <br> O3 Management Action: grey <br> Insufficient Data
Abbotsford A Columbia Street,TRUE,NA,2013,49.0215,-122.3266,O3,o3_8h,NA,Lower Fraser Valley,0,#dbdbdb,Abbotsford-Airport,grey,Insufficient Data,Abbotsford A Columbia Street <br> O3 Management Action: grey <br> Insufficient Data
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2013,49.0215,-122.3266,PM25,pm25_annual,NA,Lower Fraser Valley,0,#dbdbdb,Abbotsford-Airport,grey,Insufficient Data,Abbotsford A Columbia Street <br> PM25 Management Action: grey <br> Insufficient Data
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2013,49.0215,-122.3266,PM25,pm25_annual,NA,Lower Fraser Valley,0,#dbdbdb,Abbotsford-Airport,grey,Insufficient Data,Abbotsford A Columbia Street <br> PM25 Management Action: grey <br> Insufficient Data
Abbotsford A Columbia Street,FALSE,NA,2013,49.0215,-122.3266,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2014,49.0215,-122.3266,NO2,no2_ann,6.4,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> NO2 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2014,49.0215,-122.3266,O3,o3_8h,50,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,TRUE,NA,2014,49.0215,-122.3266,O3,o3_8h,50,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2014,49.0215,-122.3266,PM25,pm25_annual,6.2,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2014,49.0215,-122.3266,PM25,pm25_annual,6.2,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2014,49.0215,-122.3266,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2015,49.0215,-122.3266,NO2,no2_ann,7.6,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,NA,2015,49.0215,-122.3266,O3,o3_8h,50,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,TRUE,NA,2015,49.0215,-122.3266,O3,o3_8h,50,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2015,49.0215,-122.3266,PM25,pm25_annual,6.4,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2015,49.0215,-122.3266,PM25,pm25_annual,6.3,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2015,49.0215,-122.3266,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2016,49.0215,-122.3266,NO2,no2_ann,6.5,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> NO2 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
