site,tfee,instrument,year,latitude,longitude,pollutant,metric,metric_value,airzone,colour_order,colour,label,colour_text,labels,popup
Abbotsford A Columbia Street,FALSE,NA,2016,49.0215,-122.3266,O3,o3_8h,49,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> O3 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,TRUE,NA,2016,49.0215,-122.3266,O3,o3_8h,49,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> O3 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2016,49.0215,-122.3266,PM25,pm25_annual,5.9,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2016,49.0215,-122.3266,PM25,pm25_annual,5.8,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2016,49.0215,-122.3266,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2017,49.0215,-122.3266,NO2,no2_ann,7.7,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,NA,2017,49.0215,-122.3266,O3,o3_8h,53,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,TRUE,NA,2017,49.0215,-122.3266,O3,o3_8h,53,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2017,49.0215,-122.3266,PM25,pm25_24h,23,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2017,49.0215,-122.3266,PM25,pm25_annual,5.5,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2017,49.0215,-122.3266,SO2,so2_ann,0.1,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2018,49.0215,-122.3266,NO2,no2_ann,7.5,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,NA,2018,49.0215,-122.3266,O3,o3_8h,58,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> O3 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,NA,2018,49.0215,-122.3266,O3,o3_8h,58,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> O3 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2018,49.0215,-122.3266,PM25,pm25_24h,26,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2018,49.0215,-122.3266,PM25,pm25_annual,5.4,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2018,49.0215,-122.3266,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2019,49.0215,-122.3266,NO2,no2_ann,7.1,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,NA,2019,49.0215,-122.3266,O3,o3_8h,59,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> O3 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,NA,2019,49.0215,-122.3266,O3,o3_8h,59,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> O3 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2019,49.0215,-122.3266,PM25,pm25_annual,6.4,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2019,49.0215,-122.3266,PM25,pm25_annual,5.7,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2019,49.0215,-122.3266,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2020,49.0215,-122.3266,NO2,no2_ann,6.3,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> NO2 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2020,49.0215,-122.3266,O3,o3_8h,56,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> O3 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,NA,2020,49.0215,-122.3266,O3,o3_8h,54,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2020,49.0215,-122.3266,PM25,pm25_annual,6.6,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2020,49.0215,-122.3266,PM25,pm25_annual,5.6,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2020,49.0215,-122.3266,SO2,so2_ann,0.3,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2021,49.0215,-122.3266,NO2,no2_ann,6.2,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> NO2 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2021,49.0215,-122.3266,O3,o3_8h,52,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,TRUE,NA,2021,49.0215,-122.3266,O3,o3_8h,51,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2021,49.0215,-122.3266,PM25,pm25_annual,5.7,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2021,49.0215,-122.3266,PM25,pm25_annual,5,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,NA,2021,49.0215,-122.3266,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford A Columbia Street,FALSE,NA,2022,49.0215,-122.3266,NO2,no2_ann,7.2,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,NA,2022,49.0215,-122.3266,O3,o3_8h,54,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,TRUE,NA,2022,49.0215,-122.3266,O3,o3_8h,53,Lower Fraser Valley,2,#FEE08B,Abbotsford-Airport,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford A Columbia Street <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford A Columbia Street,FALSE,PM25 SHARP5030,2022,49.0215,-122.3266,PM25,pm25_24h,22,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,TRUE,PM25 SHARP5030,2022,49.0215,-122.3266,PM25,pm25_24h,19,Lower Fraser Valley,3,#F46D43,Abbotsford-Airport,orange,Actions for Preventing CAAQS Exceedance,Abbotsford A Columbia Street <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford A Columbia Street,FALSE,NA,2022,49.0215,-122.3266,SO2,so2_ann,0.4,Lower Fraser Valley,1,#A6D96A,Abbotsford-Airport,green,Actions for Keeping Clean Areas Clean,Abbotsford A Columbia Street <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford Central,FALSE,NA,2013,49.0428,-122.3097,NO2,no2_ann,9,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,FALSE,NA,2013,49.0428,-122.3097,O3,o3_8h,50,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,TRUE,NA,2013,49.0428,-122.3097,O3,o3_8h,50,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,PM25 SHARP5030,2013,49.0428,-122.3097,PM25,pm25_annual,5.3,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,TRUE,PM25 SHARP5030,2013,49.0428,-122.3097,PM25,pm25_annual,5.3,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,NA,2013,49.0428,-122.3097,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-MillLake,green,Actions for Keeping Clean Areas Clean,Abbotsford Central <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford Central,FALSE,NA,2014,49.0428,-122.3097,NO2,no2_ann,8.4,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,FALSE,NA,2014,49.0428,-122.3097,O3,o3_8h,51,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,TRUE,NA,2014,49.0428,-122.3097,O3,o3_8h,51,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,PM25 SHARP5030,2014,49.0428,-122.3097,PM25,pm25_annual,6.1,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,TRUE,PM25 SHARP5030,2014,49.0428,-122.3097,PM25,pm25_annual,6.1,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,NA,2014,49.0428,-122.3097,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-MillLake,green,Actions for Keeping Clean Areas Clean,Abbotsford Central <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford Central,FALSE,NA,2015,49.0428,-122.3097,NO2,no2_ann,9.7,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,FALSE,NA,2015,49.0428,-122.3097,O3,o3_8h,52,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,TRUE,NA,2015,49.0428,-122.3097,O3,o3_8h,52,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,PM25 SHARP5030,2015,49.0428,-122.3097,PM25,pm25_annual,6.9,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,TRUE,PM25 SHARP5030,2015,49.0428,-122.3097,PM25,pm25_annual,6.9,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,FALSE,NA,2015,49.0428,-122.3097,SO2,so2_ann,0.3,Lower Fraser Valley,1,#A6D96A,Abbotsford-MillLake,green,Actions for Keeping Clean Areas Clean,Abbotsford Central <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford Central,FALSE,NA,2016,49.0428,-122.3097,NO2,no2_ann,7.9,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,FALSE,NA,2016,49.0428,-122.3097,O3,o3_8h,51,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,TRUE,NA,2016,49.0428,-122.3097,O3,o3_8h,51,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,PM25 SHARP5030,2016,49.0428,-122.3097,PM25,pm25_annual,5.8,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,TRUE,PM25 SHARP5030,2016,49.0428,-122.3097,PM25,pm25_annual,5.8,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,NA,2016,49.0428,-122.3097,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-MillLake,green,Actions for Keeping Clean Areas Clean,Abbotsford Central <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford Central,FALSE,NA,2017,49.0428,-122.3097,NO2,no2_ann,9.1,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,FALSE,NA,2017,49.0428,-122.3097,O3,o3_8h,55,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,TRUE,NA,2017,49.0428,-122.3097,O3,o3_8h,55,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> O3 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,PM25 SHARP5030,2017,49.0428,-122.3097,PM25,pm25_24h,22,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> PM25 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,TRUE,PM25 SHARP5030,2017,49.0428,-122.3097,PM25,pm25_annual,5.7,Lower Fraser Valley,2,#FEE08B,Abbotsford-MillLake,yellow,Actions for Preventing Air Quality Deterioration,Abbotsford Central <br> PM25 Management Action: yellow <br> Actions for Preventing Air Quality Deterioration
Abbotsford Central,FALSE,NA,2017,49.0428,-122.3097,SO2,so2_ann,0.2,Lower Fraser Valley,1,#A6D96A,Abbotsford-MillLake,green,Actions for Keeping Clean Areas Clean,Abbotsford Central <br> SO2 Management Action: green <br> Actions for Keeping Clean Areas Clean
Abbotsford Central,FALSE,NA,2018,49.0428,-122.3097,NO2,no2_ann,8.9,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> NO2 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,FALSE,NA,2018,49.0428,-122.3097,O3,o3_8h,60,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> O3 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
Abbotsford Central,TRUE,NA,2018,49.0428,-122.3097,O3,o3_8h,60,Lower Fraser Valley,3,#F46D43,Abbotsford-MillLake,orange,Actions for Preventing CAAQS Exceedance,Abbotsford Central <br> O3 Management Action: orange <br> Actions for Preventing CAAQS Exceedance
