NPRI_ID,year,Company,Facility,parameter,metric,metric_unit,province,latitude,longitude,sector,airzone
362,2021,Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility,Ammonia (total),9.967,tonnes,BC,49.1866,-122.9785,17,Lower Fraser Valley
362,2021,Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility,Phosphorus (total),0.00679,tonnes,BC,49.1866,-122.9785,17,Lower Fraser Valley
362,2021,Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility,PM10 - Particulate Matter <= 10 Micrometers,1.225,tonnes,BC,49.1866,-122.9785,17,Lower Fraser Valley
362,2021,Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility,pm25,0.98,tonnes,BC,49.1866,-122.9785,17,Lower Fraser Valley
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Ethylbenzene,0.0901,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Ethylbenzene,0,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Ethylbenzene,0.0624,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Toluene,0.7957,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Toluene,0.0026,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Toluene,0.7421,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,n-Hexane,1.219,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,n-Hexane,0.9357,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,n-Hexane,1.5967,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Cyclohexane,0.1137,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Cyclohexane,0,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Cyclohexane,0.2765,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,no2,83.3484,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Xylene (all isomers),0.1411,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Xylene (all isomers),0,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Xylene (all isomers),0.0284,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Carbon monoxide,132.7233,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Benzene,0.6742,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Benzene,0.0016,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Benzene,0.5391,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,so2,396.7655,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Hydrogen sulphide,1.2793,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Hydrogen sulphide,0.2366,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,"1,2,4-Trimethylbenzene",0.1215,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Total particulate matter,11.8204,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,PM10 - Particulate Matter <= 10 Micrometers,8.9439,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,pm25,6.0674,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Total reduced sulphur (expressed as hydrogen sulphide),1.3295,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Total reduced sulphur (expressed as hydrogen sulphide),0.2366,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Volatile Organic Compounds (VOCs),38.98,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Volatile Organic Compounds (VOCs),38.506100000000004,tonnes,BC,53.9268,-122.7028,12,Central Interior
405,2021,Tidewater Midstream and Infrastructure Ltd.,Prince George Refinery,Volatile Organic Compounds (VOCs),34.1436,tonnes,BC,53.9268,-122.7028,12,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Chlorine dioxide,28.23578,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,no2,816.74773,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Hexachlorobenzene,0.00447,grams,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Anthracene,12.88851,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Anthracene,0.64638,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Pyrene,16.96786,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Pyrene,0.32319,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,"Dibenzo[a,i]pyrene",2.58551,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,"Dibenzo[a,e]pyrene",2.58551,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Fluoranthene,29.83639,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Fluoranthene,3.23189,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Acenaphthylene,43.48976,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Chrysene,7.67803,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Chrysene,0.32319,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Formaldehyde,3.67851,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Formaldehyde,0.54296,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Carbon monoxide,1007.90677,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Methanol,2.68893,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Methanol,220.19329,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Isopropyl alcohol,8.92768,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,so2,25.70139,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Acetaldehyde,2.94154,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Acetaldehyde,5.67866,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Acetaldehyde,0.16159,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Hydrochloric acid,21.03199,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Hydrogen sulphide,7.18687,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Phenanthrene,98.06335,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Arsenic (and its compounds),13.84297,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Arsenic (and its compounds),106.65236,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Cadmium (and its compounds),6.52454,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Cadmium (and its compounds),7.11016,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Lead (and its compounds),45.67077,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Lead (and its compounds),42.01457,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Manganese (and its compounds),0.20121,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Manganese (and its compounds),17.90467,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Selenium (and its compounds),2.33882,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Selenium (and its compounds),100.18858,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Ammonia (total),38.86787,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Ammonia (total),89.59491,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Nitrate ion in solution at pH >= 6.0,297.56009,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Hexavalent chromium (and its compounds),6.58715,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Hexavalent chromium (and its compounds),14.38191,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Phosphorus (total),0.15108,tonnes,BC,52.998,-122.483,14,Central Interior
